R1,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,D9
0,0.782562,0.791245,,0.873612,0.859034,0.861054,0.884312,0.856722,,1,1,,1,1,1,1,1,,1,1,,1,1,1,1,1,,1,1,,1,1,1,1,1,
15,0.772532,0.698328,,0.856286,0.851842,0.85349,0.878077,,,1,0.990574,,1,0.9974,0.995775,0.997696,,,1,0.990574,,1,0.9974,0.995775,0.997696,,,1,1,,1,1,1,1,,
30,0.760578,0.797802,0.879884,0.876273,0.863342,0.875746,0.872105,0.841198,,0.99723,0.993888,1,1,0.997902,0.996548,0.996874,0.997174,,0.99723,0.993888,1,1,0.997902,0.996548,0.996874,0.997174,,1,1,1,1,1,1,1,1,
45,0.775414,0.703268,0.880846,0.866489,0.850239,0.867992,0.835136,0.832842,,0.989272,0.987086,0.997879,1,0.99585,0.995081,0.995201,0.995004,,0.989272,0.987086,0.997879,1,0.99585,0.995081,0.995201,0.995004,,1,1,1,1,1,1,1,1,
60,0.751728,0.722761,0.875148,0.824556,0.824897,0.786605,0.869242,0.86134,,0.994057,0.992718,0.99855,1,0.994664,0.994902,0.997044,0.997563,,0.994057,0.992718,0.99855,1,0.994664,0.994902,0.997044,0.997563,,1,1,1,1,1,1,1,1,
75,0.722876,0.591545,0.806866,0.845603,0.833737,0.823925,0.853777,0.82838,,0.987779,0.988266,0.992834,1,0.994961,0.994946,0.995058,0.996056,,0.987779,0.988266,0.992834,1,0.994961,0.994946,0.995058,0.996056,,1,1,1,1,1,1,1,1,
90,0.691147,0.631883,0.850177,0.830536,0.849735,0.843787,0.817054,0.845251,,1,0.985238,0.994665,1,0.996146,0.996293,0.994758,0.99646,,1,0.985238,0.994665,1,0.996146,0.996293,0.994758,0.99646,,1,1,1,1,1,1,1,1,
105,0.710406,0.640976,0.841435,0.847414,0.817225,0.829917,0.832605,0.882764,,0.996386,0.995919,0.993623,1,0.994418,0.994496,0.993079,0.994701,,0.996386,0.995919,0.993623,1,0.994418,0.994496,0.993079,0.994701,,1,1,1,1,1,1,1,1,
120,0.696173,0.640752,0.883036,0.812065,0.810111,0.808455,0.789912,0.828242,,0.984458,0.981393,0.995108,1,0.993287,0.993271,0.99139,0.994855,,0.984458,0.981393,0.995108,1,0.993287,0.993271,0.99139,0.994855,,1,1,1,1,1,1,1,1,
135,0.683075,0.604895,0.850821,0.812397,0.80125,0.775826,0.793157,0.811967,,0.982145,0.973236,0.993244,1,0.991923,0.994122,0.989778,0.994655,,0.982145,0.973236,0.993244,1,0.991923,0.994122,0.989778,0.994655,,1,1,1,1,1,1,1,1,
